,name,department,rating,total_ratings,would take again,difficulty
46,Stephen G Bronars,Economics,2.7,3 ratings,N/A,1.3
47,Chandrajit Bajaj,Computer Science,2.7,7 ratings,100%,3.1
48,Samer Ali,Literature,3.6,8 ratings,N/A,2.6
49,Rafael De La Llave,Mathematics,2.9,8 ratings,N/A,2.4
50,Kamran Aghaie,History,2.9,17 ratings,50%,3.7
51,John Ivy,Health Science,5,1 ratings,N/A,1
52,Ed Coyle,Health Science,3.5,4 ratings,N/A,3.5
53,Roger Farrar,Health Science,3.4,5 ratings,N/A,4.2
54,Penny A. Green,Sociology,3.6,43 ratings,75%,3.2
55,Karrol A. Kitt,Humanities,2.5,13 ratings,N/A,3.2
56,Mark Bierner,Biology,4.1,21 ratings,100%,2.3
57,Karl Galinsky,Classics,3.8,40 ratings,70%,3.3
58,Stuart Reifel,Education,4.3,4 ratings,N/A,2.3
59,James Schiek,English,2.5,3 ratings,N/A,4
60,Alan Campion,Chemistry,2.1,52 ratings,25%,3.6
61,Adam Oberman,Mathematics,0,0 ratings,N/A,0
62,Louise Harpman,Architecture,5,1 ratings,N/A,3
63,Louise Wolitz,Economics,2.8,5 ratings,N/A,3.6
64,Phil Kushner,Mathematics,2.6,26 ratings,N/A,3.7
65,Scot Powe,Law,4.2,6 ratings,100%,3.3
66,Klaus Kalthoff,Biology,2.8,11 ratings,N/A,4.6
67,Brian Leiter,Law,3.2,14 ratings,N/A,2.6
68,Neal Burns,Journalism,2.9,6 ratings,N/A,2.5
69,Harry Cleaver,Economics,3.7,6 ratings,N/A,3.5
70,Isabella Cunningham,Marketing,3,5 ratings,100%,3.8
71,. Kimball,English,4.2,3 ratings,N/A,2.3
72,. Whigham,English,3.4,22 ratings,100%,3.8
73,Wayne Rebhorn,English,3.1,20 ratings,63%,3.2
74,Perry Connolly,Languages,2.6,4 ratings,N/A,3.5
75,Karl Miller,History,4.6,14 ratings,N/A,2.9
76,Sarah Buel,Law,1.9,6 ratings,N/A,3
77,John Swinnea,Engineering,4.1,20 ratings,80%,2.1
78,Donna Lyon,Chemistry,3.3,34 ratings,N/A,2.9
79,Carl Blyth,Languages,4.2,5 ratings,100%,2.8
80,Eric Mallin,English,4,23 ratings,80%,3.4
81,Leslie Vaaler,Mathematics,2.1,7 ratings,N/A,4.1
82,Robin Doughty,Geography,2.8,15 ratings,34%,3.5
83,Kenneth Liechti,Engineering,3.5,5 ratings,100%,4.6
84,Klaus Bichteler,Mathematics,1.5,32 ratings,N/A,4.4
85,Rosanne Loop,Nutrition,2.2,11 ratings,N/A,4.3
86,Ekwere Peters,Engineering,2.1,7 ratings,N/A,3.3
87,Joshua Klein,Physics,5,3 ratings,N/A,3.3
88,Paul Oakes,Physics,0,0 ratings,N/A,0
89,Mary Baker,Languages,3.7,5 ratings,N/A,4.4
90,Harry Swinney,Physics,3.5,28 ratings,64%,4
91,Hao Ling,Engineering,5,4 ratings,N/A,2.5
92,Enrique Rodriguez,Anthropology,3,8 ratings,25%,3.5
93,Francis Bostick,Engineering,5,3 ratings,N/A,2.3
94,Derek Wills,Science,2.9,27 ratings,N/A,4
95,Matthew Russell,English,2.7,3 ratings,100%,1
96,Evelyn Schultz,Mathematics,1.8,120 ratings,27%,4.4
97,Mark Lawrence,History,4.2,24 ratings,89%,3.4
98,Gary Hamrick,Mathematics,3.7,31 ratings,84%,3.5
99,Hans Mark,Engineering,4.4,7 ratings,N/A,1.9
100,Michael Smith,Fine Arts,4.6,8 ratings,100%,2.2
101,Daniel Hamermesh,Economics,3,35 ratings,N/A,4
102,Nathan Erickson,Physics,3.2,3 ratings,N/A,3.3
103,Timothy Rowe,Geology,2.8,55 ratings,19%,4
104,Megan Seaholm,History,3.4,98 ratings,56%,2.9
105,Brian Bocknack,Chemistry,3.5,32 ratings,36%,3.6
106,Jim Spivey,Psychology,4.4,15 ratings,N/A,3.2
107,John Rickard,Engineering,0,0 ratings,N/A,0
108,T.K. Seung,Philosophy,3.9,8 ratings,N/A,4.1
109,Eric Warr,Sociology,4.8,21 ratings,100%,2.7
110,Andrew Karch,Political Science,4.7,9 ratings,N/A,2.4
111,Inderjit Dhillon,Computer Science,4.5,2 ratings,N/A,3.5
112,James Ayres,English,1.8,12 ratings,N/A,4.6
113,Kathryn Metz,Music,0,0 ratings,N/A,0
114,Jennifer Proft,Mathematics,4.3,2 ratings,N/A,3
115,Chris Bell,Geology,3.4,20 ratings,50%,4
116,James Henderson,Music,0,0 ratings,N/A,0
117,. McDaniel,History,3.3,16 ratings,67%,2.7
118,Anita Vangelisti,Communication,3.5,4 ratings,34%,3.8
119,Patrick Hughes,Music,5,1 ratings,100%,4
120,Lisa Carroll-Lee,Literature,5,2 ratings,N/A,3
121,Diane Radin,Mathematics,3.2,48 ratings,30%,3.9
122,Tiffany Gill,History,4.1,6 ratings,N/A,2.7
123,William Carner,Marketing,3.3,2 ratings,N/A,2
124,Diane Kneeland,Chemistry,3,2 ratings,N/A,3
125,Allen Cowley,Chemistry,2.7,6 ratings,N/A,3.8
126,Benjamin Hicks,Classics,0,0 ratings,N/A,0
127,Alan Kessler,Political Science,4.3,4 ratings,67%,3.3
128,Fran Dorn,Theater,4.7,7 ratings,75%,2.1
129,Craig Chase,Engineering,3.7,11 ratings,N/A,3.6
130,Jayadev Misra,Computer Science,4.3,3 ratings,N/A,4
131,Elaine Rich,Computer Science,3.9,12 ratings,100%,3.5
132,Marvin Olasky,Journalism,4.8,2 ratings,N/A,3.5
133,Andrew Dell'Antonio,Music,4.2,6 ratings,50%,1.5
134,Jane Lippman,Languages,5,3 ratings,N/A,2.7
135,John Abbott,Biology,5,5 ratings,N/A,3.4
136,Christopher Adejumo,Fine Arts,4,3 ratings,100%,1.7
137,Michael White,Religion,4.3,18 ratings,82%,2.3
138,Roderick Hart,Communication,5,2 ratings,100%,2.5
139,Craig Wheeler,Astronomy,4.3,14 ratings,75%,2.6
140,Sankaran Radhakrishnan,Languages,4.8,2 ratings,N/A,2.5
141,Leon Long,Geology,4,17 ratings,100%,3.2
142,G. Howard Miller,History,2.8,2 ratings,N/A,4
143,Ted Aanstoos,Engineering,4.8,4 ratings,N/A,1.5
144,Robert Anderson,Fine Arts,2.5,1 ratings,N/A,3
145,Suzanne Barth,Biology,4.2,8 ratings,80%,2.7
146,Mike Dahlin,Computer Science,0,0 ratings,N/A,0
147,Mike Telch,Psychology,3,4 ratings,N/A,2
148,Daniel Alexander Jones,Theater,0,0 ratings,N/A,0
149,Joni Jones,Theater,3.7,8 ratings,67%,2.9
150,Bill Wiman,Fine Arts,0,0 ratings,N/A,0
151,Bill Lundberg,Fine Arts,3.5,1 ratings,N/A,3
152,Loril Gossett,Communication,0,0 ratings,N/A,0
153,Johanna Hartelius,Communication,4.7,3 ratings,100%,2.3
154,Sunshine Webster,Communication,5,2 ratings,N/A,2.5
155,Catherine Echols,Psychology,0,0 ratings,100%,0
156,Gwyn Morgan,Classics,4,4 ratings,N/A,3.8
157,Clariza Ruiz De Castilla,Communication,3.1,30 ratings,N/A,3.6
158,Bob Mann,Journalism,3.3,3 ratings,N/A,3.7
159,Donald Newman,Accounting,4.3,2 ratings,N/A,4
160,Joyce Harris,Communication,2,2 ratings,N/A,4
161,Bart Goddard,Mathematics,3.7,47 ratings,84%,3.3
162,Robert Dull,Geography,2.9,13 ratings,0%,3.6
163,Brian Levack,History,3.2,6 ratings,100%,3.2
164,Bob Twombly,English,0,0 ratings,N/A,0
165,Rebecca Montes,History,0,0 ratings,N/A,0
166,Ryan Derby-Talbot,Mathematics,0,0 ratings,N/A,0
167,Penne Restad,History,4.6,14 ratings,75%,3.1
168,Mark Raizen,Physics,3.6,5 ratings,100%,2.8
169,Efraim Armendariz,Mathematics,4.2,3 ratings,N/A,2.3
170,J Cox,English,4.3,23 ratings,100%,2.8
171,Yuyu Sun,Science,0,0 ratings,N/A,0
172,Aaron Zacks,English,4.8,4 ratings,100%,2.7
173,Andrew Noble,Music,0,0 ratings,N/A,0
174,Solange Munoz,Languages,2.6,4 ratings,N/A,2.8
175,Dina Sherzer,Film,4,2 ratings,N/A,2.5
176,Henry Dietz,Political Science,4,9 ratings,100%,3.1
177,Abe Wicklegren,Economics,0,0 ratings,N/A,0
178,Raymond Hawkins,Psychology,3.1,7 ratings,N/A,2.1
179,Devendra Singh,Psychology,3.9,10 ratings,100%,3
180,George Sylvie,Journalism,2.4,6 ratings,0%,4
181,Lea Cline,Art History,5,3 ratings,100%,2
182,Alicia Carter,Languages,5,3 ratings,N/A,1.7
183,Jerry Schirmer,Physics,3,2 ratings,N/A,3
184,Paula J. Perlman,Classics,3.4,18 ratings,100%,3.9
185,Alex Wettlaufer,Languages,3.4,5 ratings,100%,4
186,David Siller,Languages,3.4,5 ratings,N/A,2.8
187,Timothy Loving,Women's Studies,4.4,16 ratings,0%,2.6
188,Sanford Marble,Economics,1.8,7 ratings,N/A,3.4
189,Alba Ortiz,Education,0,0 ratings,N/A,0
190,Ellen Kester,Communication,0,0 ratings,N/A,0
191,Beatrix Paal,Economics,1.4,13 ratings,N/A,4.2
192,AJ Boydston,Chemistry,5,2 ratings,100%,3.5
193,Eiichiro Komatsu,Astronomy,3,3 ratings,N/A,3.3
194,Mark Bernstein,Communication,4.3,20 ratings,78%,2.8
195,John Clarke,Art History,3.9,14 ratings,67%,3.5
196,Veronica House,Writing,0,0 ratings,N/A,0
197,Eric Pianka,Biology,1.4,27 ratings,14%,4.3
198,. Neubauer,Biology,3.9,7 ratings,N/A,3.6
199,Frenkel Hofstede,Marketing,4.8,3 ratings,N/A,1.7
200,Jessie Wandelt,Biology,3.8,60 ratings,100%,3.5
201,J. Limon,English,0,0 ratings,N/A,0
202,Catherine Stacy,Mathematics,3.8,14 ratings,100%,3.4
203,Cherise Smith,Art History,4.3,5 ratings,N/A,3.6
204,Allan MacDonald,Physics,2.5,3 ratings,50%,2.7
205,Leanne Field,Biology,4.5,2 ratings,100%,4.5
206,Lawrence McFarland,Fine Arts,5,2 ratings,N/A,3.5
207,Dan Leary,Architecture,0,0 ratings,N/A,0
208,David Stuart,Art History,4.3,18 ratings,75%,2.9
209,Bella Jordan,Geography,3.8,8 ratings,75%,2.9
210,Ben Carrington,Sociology,4.4,4 ratings,100%,2.5
211,Ellen Spiro,Film,5,15 ratings,100%,2.7
212,John Pierson,Film,0,0 ratings,N/A,0
213,Kate Frost,English,3.1,6 ratings,N/A,5
214,Jason Casellas,Government,4,6 ratings,0%,1.8
215,Beatriz Schleppe,Languages,4.7,17 ratings,100%,3.3
216,Lorraine Roy,Information Science,1.9,5 ratings,0%,2.6
217,Telad Malouhi,Biology,5,2 ratings,N/A,1.5
218,James Tunnell,Engineering,0,0 ratings,N/A,0
219,Richard Pells,History,0,0 ratings,N/A,0
220,Don Batory,Computer Science,3.4,4 ratings,67%,3
221,Matthew Scholl,Mathematics,2.2,3 ratings,N/A,2.3
222,H Yilmaz,Economics,3.8,4 ratings,N/A,4
223,Jafari Allen,Anthropology,2.8,4 ratings,0%,2.8
224,Williams Glade,Economics,0,0 ratings,N/A,0
225,Michelle Monk,Humanities,0,0 ratings,N/A,0
226,Michael Gagarin,Classics,2.8,3 ratings,N/A,4.3
227,Martin Schlaepfer,Biology,0,0 ratings,N/A,0
228,Deborah Weiss,Law,0,0 ratings,N/A,0
229,Ruth Franks,Biology,4,1 ratings,N/A,1
230,Christine Hawkes,Biology,3.5,1 ratings,N/A,4
231,Kristen Grauman,Computer Science,4.9,8 ratings,100%,2.7
232,Alison Preston,Psychology,4.5,2 ratings,100%,4
233,Namkee Choi,Social Work,0,0 ratings,N/A,0
234,Chris McCarthy,Education,5,2 ratings,100%,2
235,Steven Isenberg,English,4.5,2 ratings,N/A,3.5
236,Hallberg Amy,Anthropology,0,0 ratings,N/A,0
237,Byron McClenney,Education,5,1 ratings,N/A,5
238,Umar Alam,Biology,5,1 ratings,N/A,1
239,Michael Luchs,Marketing,0,0 ratings,N/A,0
240,Janet Kastner,Fine Arts,0,0 ratings,N/A,0
241,Jorge Canizares-Esguerra,History,3.9,15 ratings,100%,4.3
242,Norman Brown,History,2,3 ratings,N/A,3.7
243,Thomas Sadler,Mathematics,0,0 ratings,N/A,0
244,Austen Riggs,Biology,1.6,4 ratings,N/A,2.8
245,Brian King,Geography,0,0 ratings,N/A,0
246,Mounira Charrad,Sociology,4.3,3 ratings,100%,2.7
247,Shirley Lukenbill,Library Science,3.3,7 ratings,N/A,3
248,Barbara Moore,Biology,2.7,14 ratings,N/A,4.2
249,Corinne Grimes,Nursing,3.5,3 ratings,N/A,1.3
250,Sarah Blankenship,Nursing,5,2 ratings,N/A,2
251,Sherry Hendrickson,Nursing,3,2 ratings,N/A,3
252,Harvey Pittel,Music,4.8,2 ratings,N/A,5
253,Gustavo Deveciana,Engineering,3.7,3 ratings,100%,3
254,Arban Uka,Physics,4.5,3 ratings,100%,3
255,Anthony Petrosino,Education,2,2 ratings,N/A,3
256,Diana Fleischman,Psychology,0,0 ratings,N/A,0
257,Billy Koen,Engineering,4.1,18 ratings,N/A,2.3
258,Elliott Antokoletz,Music,2.7,6 ratings,N/A,4.3
259,James Eriskine,Physics,2.2,4 ratings,0%,3.5
260,Jennifer Beer,Psychology,3.4,7 ratings,50%,3.3
261,Karen Mann,Mathematics,4.5,2 ratings,N/A,1.5
262,Peter Trubowitz,Political Science,4.2,3 ratings,N/A,3.7
263,Kent Butler,Architecture,0,0 ratings,N/A,0
264,Susan Todd,Writing,4.5,1 ratings,N/A,2
265,George Georgiou,Engineering,0,0 ratings,N/A,0
266,P Rossky,Chemistry,4,1 ratings,N/A,3
267,Peter Fazziola,Languages,4.3,2 ratings,N/A,2.5
268,Jennifer Gates-Foster,Classics,4.2,5 ratings,N/A,3.8
269,Bryan Russell,English,4.8,3 ratings,N/A,3
270,Tom Bushart,Biology,3.3,8 ratings,N/A,3.9
271,Dale Smith,English,4.5,2 ratings,N/A,2
272,Keith Robinson,Sociology,3.9,6 ratings,N/A,2.8
273,Douglas De Vidal,Accounting,2.5,2 ratings,N/A,5
274,Matt Clements,Economics,3,2 ratings,N/A,5
275,Mercedes De Uriarte,Journalism,5,1 ratings,N/A,4
276,Theodore Dix,Nursing,4.7,3 ratings,100%,3.7
277,Philipp Broadbent,Languages,3.1,5 ratings,N/A,3.8
278,Jenn Garrison,Film,5,2 ratings,N/A,4
279,Robert Bishop,Engineering,0,0 ratings,N/A,0
280,Lili Qiu,Computer Science,2.5,11 ratings,50%,3.7
281,Arlo Schurle,Mathematics,4.1,19 ratings,N/A,2.4
282,Lizabeth Doherty,Education,0,0 ratings,N/A,0
283,James Bryant,Biology,2.7,6 ratings,N/A,4.8
284,Rebecca Bigler,Psychology,4.5,7 ratings,100%,2.9
285,Sarah Simmons,Science,4.6,4 ratings,N/A,1.5
286,Ben Henry,Classics,0,0 ratings,N/A,0
287,Richard MacDowell,Music,3.1,6 ratings,N/A,2.2
288,Tammy Linseisen,Social Work,4.5,2 ratings,N/A,1.5
289,Deborah Stote,Psychology,3.8,5 ratings,N/A,2.8
290,Shernaz Garcia,Education,0,0 ratings,N/A,0
291,Patricia Somers,Education,0,0 ratings,N/A,0
292,Benny Freeman,Engineering,3.8,5 ratings,100%,4.6
293,Jessica Goudeau,English,5,2 ratings,N/A,2.5
294,Charles Earhart,Biology,2.5,1 ratings,N/A,5
295,Lorraine Branham,Journalism,0,0 ratings,N/A,0
296,Jennifer Fuller,Communication,3.3,6 ratings,N/A,4.5
297,Seth Garfield,History,2.6,6 ratings,40%,3.8
298,Lorenzo Alvisi,Computer Science,4.3,7 ratings,100%,4.3
299,Kevin Sanson,Film,4.8,5 ratings,N/A,4.4
300,Marina Choi,Communication,2.9,4 ratings,0%,2.3
301,Ricardo Teixeira,Mathematics,4.9,4 ratings,N/A,3
302,Jorge Pena,Communication,4.3,2 ratings,N/A,3
303,Allen MacDuffie,English,4.7,4 ratings,100%,3.3
304,Marc Musick,Sociology,4.3,2 ratings,100%,3.5
305,Christopher Long,Architecture,4.8,6 ratings,100%,3.3
306,Gary Kocurek,Geology,2.9,11 ratings,50%,3.5
307,Pamela Friedman,Finance,0,0 ratings,N/A,0
308,Jennifer Whitson,Management,0,0 ratings,N/A,0
309,Rowena Fong,Social Work,4,7 ratings,50%,2
310,Amanda Jones,Psychology,0,0 ratings,N/A,0
311,Rupert Snell,Asian Studies,5,3 ratings,100%,2
312,Sean Buckley,Engineering,0,0 ratings,N/A,0
313,John Colapret,Chemistry,3.3,80 ratings,71%,3.5
314,Enrique Fierro,Literature,4,1 ratings,N/A,1
315,Arlen Johnson,Biology,2,5 ratings,0%,3.6
316,Gregory Foran,English,0,0 ratings,N/A,0
317,Harold Zakon,Biology,3.5,3 ratings,100%,3.7
318,Richard Richardson,Biology,2,2 ratings,N/A,3.5
319,David Haney,History,4.2,5 ratings,N/A,2.4
320,John Scalo,Astronomy,1.9,50 ratings,8%,4.1
321,Donna Aguiniga,Social Work,4.5,2 ratings,N/A,2
322,Chi Hin Chan,Mathematics,3,1 ratings,N/A,3
323,Kathleen Shaw,Linguistics,0,0 ratings,N/A,0
324,Alan McCown,Spanish & Portuguese,1.5,3 ratings,N/A,4.7
325,Francisco Perez,Geography,3.9,11 ratings,N/A,2.5
326,William Nethercut,Classics,3.4,36 ratings,58%,2.8
327,Joseph Abraham,English,0,0 ratings,N/A,0
328,David Fithian,Mathematics,2.8,2 ratings,N/A,2
329,Emilie Destruel,French & Italian,5,2 ratings,N/A,3.5
330,Thomas Chen,Mathematics,4.3,16 ratings,86%,2.7
331,Jade Walker,Fine Arts,3.5,1 ratings,N/A,2
332,Jan Todd,Health Science,2.3,4 ratings,0%,2.8
333,Jean-Pierre Montreuil,French & Italian,3.3,4 ratings,N/A,3.8
334,Simone Sessolo,French & Italian,4,2 ratings,N/A,2.5
335,Brenda Chinnery-Allgeier,Biology,3.7,36 ratings,64%,3
336,Zaiming Zhao,Biology,3.3,44 ratings,0%,2.8
337,Marion Bodian,History,2.8,18 ratings,50%,3.3
338,Robert King,Linguistics,4.2,5 ratings,N/A,2.2
339,Michael Becker,Engineering,3.3,2 ratings,N/A,4
340,Ian Osteen,Culinary Arts,0,0 ratings,N/A,0
341,Ethan Burris,Management,0,0 ratings,N/A,0
342,Jeb Mueller,Music,0,0 ratings,N/A,0
343,Don Graham,English,4.5,9 ratings,100%,2.1
344,John Burrows,Management,3.8,3 ratings,N/A,2.7
345,Paul Martorana,Management,2,1 ratings,N/A,1
346,William Epps,History,0,0 ratings,N/A,0
347,Yingda Cheng,Mathematics,3,3 ratings,N/A,3.3
348,Shardha Jogee,Astronomy,3.9,6 ratings,50%,3
349,Kent Despain,Theater,0,0 ratings,N/A,0
350,Curran Nault,Film,4.6,7 ratings,100%,2.3
351,Shu-Chuan Chu,Advertising,3.8,2 ratings,N/A,1.5
352,Judith Atzler,Languages,4.3,3 ratings,N/A,2
353,Ellen Morrison,Business,0,0 ratings,N/A,0
354,Brandi Demont,French & Italian,4.4,7 ratings,100%,2
355,Thomas Marquardt,Communication,3.9,6 ratings,0%,2.8
356,Chris Matyear,Communication,4.5,2 ratings,N/A,3
357,Sanford Levinson,Law,3.5,2 ratings,N/A,2
358,Alessandra Lippucci,Government,5,1 ratings,N/A,1
359,Sheldon Ekland-Olson,Sociology,4.4,32 ratings,83%,2.3
360,Jerome Bump,English,3.8,7 ratings,25%,3.1
361,Steven Hoelscher,American Studies,3.6,12 ratings,50%,2.8
362,John Barnes,Engineering,3.8,3 ratings,N/A,2.3
363,Mrinal Sen,Geology,0,0 ratings,N/A,0
364,Annie Petersen,Film,4.8,2 ratings,N/A,3.5
365,Xiao-Yang Zhu,Chemistry,3.8,2 ratings,N/A,3.5
366,Don Fussell,Computer Science,3.5,2 ratings,N/A,4
367,Mary Dunn,Management,4,2 ratings,N/A,2.5
368,Adi Raz,Languages,4,11 ratings,N/A,3.2
369,Monica Yaniv,Languages,3.5,2 ratings,100%,3
370,J Aggarwal,Engineering,0,0 ratings,N/A,0
371,Jennifer Marsh,Architecture,0,0 ratings,N/A,0
372,John Higley,Sociology,4,2 ratings,N/A,3.5
373,Benjamin Narvaez,History,3.5,1 ratings,N/A,2
374,Richard Cherwitz,Business,2,2 ratings,N/A,4.5
375,Douglas Foley,Education,5,1 ratings,N/A,3
376,Clayton Bjorland,Mathematics,3.4,5 ratings,N/A,2.4
377,Eduardo Gildin,Engineering,0,0 ratings,N/A,0
378,John Fremgen,Music,3.5,1 ratings,N/A,3
379,Whitney Yin,Chemistry,3.5,1 ratings,N/A,2
380,Charles Krecz,Philosophy,3.3,44 ratings,75%,2.2
381,Nancy Kwallek,Design,0,0 ratings,N/A,0
382,Adriana Sofer,Mathematics,0,0 ratings,N/A,0
383,Michael Sullivan,Classics,3.3,2 ratings,N/A,4
384,Andreas Gerstlauer,Engineering,4,3 ratings,N/A,3.3
385,William Neal,Engineering,0,0 ratings,N/A,0
386,Robert McCann,Engineering,4.3,3 ratings,100%,1
387,George Cardwell,Engineering,2.8,2 ratings,N/A,2
388,James Chelikowsky,Physics,3.3,7 ratings,100%,4
389,Leo Zonn,Geography,4.5,7 ratings,100%,1.4
390,S. Craig Watkins,Film,1.5,2 ratings,N/A,4
391,Karen Pagani,French & Italian,3.7,5 ratings,N/A,3.4
392,Carolyn Gondran,Chemistry,2.1,5 ratings,N/A,2.6
393,Sam Wilson,Anthropology,3.5,1 ratings,N/A,2
394,Tatiana Kuzmic,Literature,4.5,3 ratings,N/A,1
395,Robert Heath,Engineering,2.6,6 ratings,40%,4.2
396,Robert Williams,Pharmacy,5,1 ratings,100%,1
397,Mechele Dickerson,Law,0,0 ratings,N/A,0
398,Matt Khosh,Marine Sciences,0,0 ratings,N/A,0
399,Cesar Ocampo,Engineering,4.3,2 ratings,N/A,5
400,Migues Santos-Neves,English,4.3,2 ratings,N/A,3.5
401,Rodrigo Nunes,Government,0,0 ratings,N/A,0
402,Jennifer Smith,Mathematics,1.8,4 ratings,N/A,3.3
403,Louisa Hall,Writing,4,2 ratings,N/A,3
404,Craig Cravens,Languages,4,2 ratings,N/A,2.5
405,Serap Sengul,Anthropology,0,0 ratings,N/A,0
406,Herb Krasner,Engineering,3.7,5 ratings,N/A,2.8
407,Peter Dana,Geography,3,1 ratings,N/A,2
408,John Donnellan,Business,0,0 ratings,N/A,0
409,Andre Gogolev,Mathematics,3,2 ratings,N/A,3
410,Myklebust Nicholas,Mathematics,0,0 ratings,N/A,0
411,Gerald Shank,Not Specified,4.7,3 ratings,N/A,3.7
412,Eric Dodson-Robinson,Classics,5,1 ratings,N/A,3
413,Jerry Manheimer,Human Dev & Family Sciences,3.3,8 ratings,25%,3.5
414,Rory Rother,Mathematics,4.5,2 ratings,N/A,3.5
415,Ronald Anderson,Communication,4.2,115 ratings,85%,2.4
416,Matthew Hill,Spanish & Portuguese,0,0 ratings,N/A,0
417,Samantha Croft,Biology,4,1 ratings,N/A,1
418,John Kormendy,Astronomy,3.2,12 ratings,75%,3.9
419,Chris Pieper,Sociology,5,3 ratings,N/A,3.3
420,Minjung Park,Languages,4.5,3 ratings,100%,2.7
421,Cheryl Kaplan,Dramatic Arts,2.5,1 ratings,N/A,2
422,Ahn Hongmin,Advertising,0,0 ratings,N/A,0
423,Luke Leonard,Theater,0,0 ratings,N/A,0
424,Laura Simmons,Film,0,0 ratings,N/A,0
425,Herim Lee,Film,0,0 ratings,N/A,0
426,Nour Touba,Engineering,0,0 ratings,N/A,0
427,Sri Satyan,Engineering,1.8,2 ratings,N/A,3.5
428,Catherine Blouke,Not Specified,4.5,1 ratings,N/A,2
429,Shirley Thompson,History,4.6,5 ratings,100%,2
430,Jeff Williams,Fine Arts,5,3 ratings,100%,1.7
431,Amy Ware,American Studies,5,2 ratings,100%,2.5
432,Nick Mantegani,Philosophy,4.5,8 ratings,N/A,3.5
433,Anthony Vigorito,Sociology,4.7,9 ratings,N/A,1.6
434,Guerra Lita,Music,3,1 ratings,0%,3
435,Lita Guerra,Music,0,0 ratings,N/A,0
436,Michael Mahometa,Mathematics,3.5,6 ratings,100%,3.2
437,Mohan Ambikaiparker,Anthropology,4,1 ratings,N/A,3
438,Werner Lang,Architecture,0,0 ratings,N/A,0
439,Fei Ren,Languages,0,0 ratings,N/A,0
440,Virginia Walker,Art History,5,1 ratings,N/A,4
441,Nancy Martin,Government,3.9,6 ratings,100%,2.2
442,Jennifer Jefferson,Education,3.7,3 ratings,N/A,3.7
443,Chia-Chieh Chu,Mathematics,2.5,1 ratings,N/A,3
444,L. Dixon,Communication,4.5,1 ratings,N/A,4
445,Todd Humphreys,Engineering,2.5,3 ratings,100%,4.3
446,James Vick,Mathematics,4.4,4 ratings,N/A,2.5
447,Jason Shear,Chemistry,4.5,1 ratings,100%,3
448,Joel Parker,Government,4.5,1 ratings,N/A,4
